name,type,stats_damage,stats_firerate,stats_ammo,stats_maxammo,stats_difficulty,scopes,barrels,grips,operators
AUG A3,Submachine Gun,40,700,31,187,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Kaid
Bailiff 410,Revolver,30,1,5,46,2,Custom Sight,,,Grim; Doc; Maestro; Alibi; Oryx
Bearing 9,Machine Pistol,33,1100,25,126,5,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Glaz; Hibana; Tachanka; Echo; Thunderbird
BOSG.12.2,Slug Shotgun,125,1,2,61,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,Vertical Grip; Angled Grip; Horizontal Grip,Dokkaebi; Vigil
C75 Auto,Machine Pistol,35,1000,26,131,3,Custom Sight,Suppressor,,Dokkaebi; Kali; Sentry; Vigil; Thorn
C7E,Assault Rifle,42,800,30,176,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Jackal
C8-SFW,Assault Rifle,40,837,30,181,4,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Buck
CAMRS,Marksman Rifle,69,1,20,141,2,Telescopic A; Telescopic B; Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Muzzle Brake; Suppressor,,Buck; Brava
Commando 9,Assault Rifle,40,780,25,176,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Sentry; Mozzie
CSRX 300,Sniper Rifle,135,1,5,36,2,Custom Sight,,,Kali
D-50,Handgun,71,1,7,64,3,Custom Sight,,,Nokk; Valkyrie; Azami
DP27,Light Machine Gun,60,550,70,281,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Reflex D; Iron Sight,,,Tachanka
F2,Assault Rifle,37,980,25,176,4,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Twitch
F90,Assault Rifle,38,780,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Gridlock
FMG-9,Submachine Gun,34,800,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Nokk; Smoke; Denari
FO-12,Shotgun,26,1,10,71,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Ela
G36C,Assault Rifle,38,780,30,181,3,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Ash; Iana
G8A1,Light Machine Gun,37,850,50,251,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Iq; Amaru
Glaive-12,Shotgun,63,1,4,29,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,Vertical Grip; Angled Grip; Horizontal Grip,Denari
Gonne-6,Hand Cannon,10,1,1,1,1,Custom Sight,,,Glaz; Capitao; Dokkaebi; Amaru; Iana; Zero
GSH-18,Handgun,44,1,18,109,1,Custom Sight,Muzzle Brake; Suppressor,,Fuze; Finka; Flores; Kapkan; Tachanka; Rauora
ITA12L,Shotgun,41,1,8,57,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Jackal; Mira; Solis
ITA12S,Shotgun,29,1,5,36,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Jackal; Amaru; Frost; Mira; Thunderbird; Striker; Melusi
K1A,Submachine Gun,36,720,30,181,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Vigil
Keratos .357,Revolver,78,1,6,61,3,Custom Sight,Muzzle Brake; Suppressor,,Maestro; Alibi; Wamai
L85A2,Assault Rifle,47,670,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Sledge; Thatcher
LFP586,Revolver,78,1,6,61,3,Custom Sight,,,Twitch; Montagne; Lion; Doc; Rook; Kaid
LMG-E,Light Machine Gun,41,720,150,301,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Zofia; Ram
Lusion,Handgun,65,1,12,91,2,Custom Sight,,,Caveira
M1014,Shotgun,28,1,8,49,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Thermite; Ace; Castle; Pulse
M12,Submachine Gun,40,550,30,181,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Caveira
M249,Light Machine Gun,48,650,100,301,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake,Vertical Grip; Angled Grip; Horizontal Grip,Striker; Capitao; Rauora
M249 SAW,Light Machine Gun,48,650,60,241,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake,Vertical Grip; Angled Grip; Horizontal Grip,Gridlock
M4,Assault Rifle,44,750,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Striker; Maverick
M45 Meusoc,Handgun,58,1,7,78,2,Custom Sight,Muzzle Brake; Suppressor,,Ash; Thermite; Castle; Pulse
M590A1,Shotgun,48,1,7,50,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Sledge; Thatcher; Deimos; Smoke; Mute; Warden
M762,Assault Rifle,45,730,30,181,3,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Zofia
M870,Shotgun,42,1,7,50,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Sentry; Jager; Bandit; Thorn
MK17 CQB,Assault Rifle,44,585,25,226,1,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Blackbeard
MK1 9mm,Handgun,48,1,13,105,2,Custom Sight,Muzzle Brake; Suppressor,,Buck; Iana; Ram; Frost
Mk 14 EBR,Marksman Rifle,60,1,20,121,3,Telescopic A; Telescopic B; Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Dokkaebi; Aruni
MP5,Submachine Gun,27,800,30,181,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Doc; Rook; Melusi
MP5K,Submachine Gun,30,900,30,181,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Mute; Wamai
MP5SD,Submachine Gun,30,800,30,181,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,Vertical Grip; Angled Grip; Horizontal Grip,Echo
MP7,Submachine Gun,32,900,30,181,3,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Zero; Bandit; Fenrir
MPX,Submachine Gun,26,830,30,181,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Valkyrie; Warden; Tubarao
Mx4 Storm,Submachine Gun,26,950,30,181,4,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Alibi
OTs-03,Sniper Rifle,71,1,15,106,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Glaz
P-10C,Handgun,40,1,15,106,1,Custom Sight,Muzzle Brake; Suppressor,,Clash; Warden
P10 Roni,Submachine Gun,26,980,15,181,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Mozzie; Aruni
P12,Handgun,44,1,15,106,2,Custom Sight,Muzzle Brake; Suppressor,,Blitz; Iq; Jager; Bandit; Wamai
P226 MK 25,Handgun,50,1,15,97,2,Custom Sight,Muzzle Brake; Suppressor,,Sledge; Thatcher; Kali; Smoke; Mute; Tubarao; Denari
P229,Handgun,51,1,12,97,2,Custom Sight,Muzzle Brake; Suppressor,,Hibana; Grim; Echo; Goyo; Skopos
P9,Handgun,45,1,16,113,1,Custom Sight,Muzzle Brake; Suppressor,,Twitch; Montagne; Lion; Ace; Doc; Rook
P90,Submachine Gun,22,970,50,201,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Doc; Rook; Solis
Para-308,Assault Rifle,47,650,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Capitao; Brava
PCX-33,Assault Rifle,36,745,31,155,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Skopos
PDW9,Submachine Gun,34,800,50,201,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Jackal; Osa
PMM,Handgun,61,1,8,81,2,Custom Sight,Muzzle Brake; Suppressor,,Glaz; Fuze; Finka; Osa; Kapkan; Tachanka
POF-9,Assault Rifle,35,740,50,201,1,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Sens
PRB92,Handgun,42,1,15,106,2,Custom Sight,Muzzle Brake; Suppressor,,Capitao; Nomad; Aruni
Q-929,Handgun,60,1,10,101,2,Custom Sight,Muzzle Brake; Suppressor,,Ying; Lesion; Thunderbird
R4-C,Assault Rifle,39,860,25,151,4,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Ash; Ram
Reaper MK2,Machine Pustol,31,765,33,133,5,Custom Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,,Rauora; Sledge; Oryx; Pulse; Ying; Rook
RG15,Handgun,38,1,15,106,1,Custom Sight,Muzzle Brake; Suppressor,,Zofia; Ela; Melusi
Sasg-12,Shotgun,26,1,10,61,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Finka; Kapkan; Fenrir
SC3000K,Assault Rifle,45,800,25,176,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Zero
Scorpion Evo 3 A1,Submachine Gun,23,1800,40,201,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Ela; Denari
SDP 9mm,Handgun,47,1,16,113,2,Custom Sight,,,Gridlock; Sens; Mozzie
SG-CQB,Shotgun,44,1,7,50,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,Vertical Grip; Horizontal Grip,Twitch; Lion; Grim; Doc; Rook
Six12,Shotgun,46,1,6,55,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Ying
SIX12 SD,Shotgun,46,1,6,55,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Nokk; Lesion
SMG-11,Machine Pistol,32,1270,16,113,5,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Amaru; Smoke; Mute; Solis
SMG-12,Machine Pistol,28,1270,32,129,4,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,Vertical Grip; Angled Grip; Horizontal Grip,Dokkaebi; Vigil; Warden
Spas-12,Shotgun,31,1,7,50,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Valkyrie; Oryx
spas-15,Shotgun,24,1,6,49,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Caveira; Thunderbird
Spear .308,Assault Rifle,42,700,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Finka; Thunderbird
SPSMG9,Machine Pistol,33,980,20,121,4,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,,Kali; Clash
SR-25,Marksman Rifle,61,1,20,141,3,Telescopic A; Telescopic B; Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Blackbeard; Flores; Striker
Super 90,Shotgun,27,1,8,49,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Frost; Melusi
Super Shorty,Shotgun,35,1,3,46,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,,Gridlock; Brava; Sentry; Castle; Lesion; Clash; Wamai
Supernova,Shotgun,48,1,7,57,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Hibana; Amaru; Echo
T-5 SMG,Submachine Gun,28,900,30,181,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Lesion; Oryx
T-95 LSW,Light Machine Gun,46,650,80,241,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Ying
TCSG12,Slug Shotgun,75,1,10,121,3,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Kaid; Goyo; Sentry
Type-89,Assault Rifle,40,850,20,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Hibana
UMP45,Submachine Gun,42,600,25,176,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Castle; Pulse
USP40,Handgun,48,1,12,97,2,Custom Sight,Muzzle Brake; Suppressor,,Jackal; Brava; Mira; Oryx
UZK50GI,Submachine Gun,40,700,22,177,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Thorn
