name,collection,rarity,availability,bundle,season
ELITEBLITZCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEJACKALCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITECAPITAOCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEIQCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
REELITEZOFIACHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITESMOKECHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEASHCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITETACHANKACHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEBUCKCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
FROSTRAPTOR,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEECHOCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEASHLARACROFT,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITEDOCCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
R6ULTRAMEGAFAN,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
R6ULTRAFANBOY,Chibi,Legendary,Removed,Twitch Prime Drops; Twitch Prime Packs,Grim Sky
ELITETHERMITECHIBI,Chibi,Legendary,Removed,Twitch Prime Drops; Twitch Prime Packs,Grim Sky
ELITEKAPKANCHIBI,Chibi,Legendary,Available,Vympel Elite,Red Crow
ELITEVALKYRIECHIBI,Chibi,Legendary,Available,Vympel Elite,Red Crow
2017INVITATIONALATTENDEE,Chibi,Legendary,Available,Vympel Elite,Red Crow
PROLEAGUEFINALSCHAMPION,Chibi,Legendary,Available,Vympel Elite,Red Crow
SIXINVITATIONALPLAYER19,Esport,Legendary,Removed,Convention Rewards,Wind Bastion
SIXMAJORUSAATTENDEE2019,Esport,Legendary,Removed,Convention Rewards,Wind Bastion
SIXINVITATIONALCHAMPION,Esport,Legendary,Available,Convention Rewards,Red Crow
2017INVITATIONALPRO,Esport,Legendary,Available,Convention Rewards,Red Crow
SIXINVITATIONALPLAYER18,Esport,Legendary,Available,Convention Rewards,Red Crow
OPERATIONHEALTHDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
CHIMERADIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
VELVETSHELLDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
DUSTLINEDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
SKULLRAINDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
REDCROWDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
BLACKICEDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
PARABELLUMDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
WHITENOISEDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
BLOODORCHIDDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
GRIMSKYDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
BURNTHORIZONDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
WINDBASTIONDIAMOND,Esport,Legendary,Available,Convention Rewards,Red Crow
PHANTOMSIGHTDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Phantom Sight
SHIFTINGTIDESDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Phantom Sight
SHADOWLEGACYDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
STEELWAVECHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
VOIDEDGECHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
STEELWAVEDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
CRIMSONHEISTCHAMPION,Esport,Legendary,Available,Ranked Rewards,Crimson Heist
CRIMSONHEISTDIAMOND,Esport,Legendary,Available,Ranked Rewards,Crimson Heist
SHADOWLEGACYCHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
VOIDEDGEDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
EMBERRISEDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
EMBERRISECHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
NORTHSTARCHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
NEONDAWNDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
NEONDAWNCHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SHIFTINGTIDESCHAMPION,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
NORTHSTARDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
USAPROLEAGUEDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SIXINVITATIONALPLATINUM18,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SIXINVITATIONALDIAMOND18,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SIXINVITATIONALDIAMOND19,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SIXMAJORPARISDIAMOND2018,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
BRAZILPROLEAGUEDIAMOND,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SIXMAJORUSADIAMOND2019,Esport,Legendary,Removed,Ranked Rewards,Shadow Legacy
SIXMAJORNLDIAMOND2020,Esport,Legendary,Removed,Twitch Drops,Shadow Legacy
SIXMAJORJAPANDIAMOND2019,Esport,Legendary,Removed,Twitch Drops,Shadow Legacy
R6DEV,Icon,Legendary,Removed,Developer,Game Launch
SIXINVITATIONAL2020,Icon,Legendary,Removed,Developer,Game Launch
PLAYTESTER,Icon,Legendary,Removed,Developer,Game Launch
SI2020FINISHER,Icon,Legendary,Removed,Developer,Game Launch
ICEYCAT,Icon,Legendary,Removed,Developer,Game Launch
SI2020ESPORT,Icon,Legendary,Removed,Developer,Game Launch
SI2020PLAYOFFS,Icon,Legendary,Removed,Developer,Game Launch
TRAININGDUMMY,Icon,Legendary,Removed,Developer,Game Launch
GOLDDOUBLOON,Icon,Legendary,Removed,Developer,Game Launch
ALPHAPACK,Icon,Legendary,Removed,Developer,Game Launch
KNIGHTHELMET,Item,Legendary,Removed,Alpha Packs,Operation Health
KICKASS,Item,Legendary,Removed,Alpha Packs,Operation Health
DESANDTROY,Item,Legendary,Available,Alpha Packs,Burnt Horizon
TACTICALSWISSKNIFE,Item,Legendary,Available,Alpha Packs,Burnt Horizon
GOODNIGHT,Item,Legendary,Available,Alpha Packs,Burnt Horizon
HARDPAW,Item,Legendary,Available,Alpha Packs,Burnt Horizon
YOUTHORIGINAL,Item,Legendary,Available,Alpha Packs,Burnt Horizon
EMBROIDEREDSHEATH,Item,Legendary,Available,Alpha Packs,Burnt Horizon
SLIPPERY,Item,Legendary,Available,Alpha Packs,Burnt Horizon
PASTRYMOLD,Item,Legendary,Available,Alpha Packs,Burnt Horizon
ANTLERTRIFLE,Item,Legendary,Available,Alpha Packs,Burnt Horizon
LUXURYCLIP,Item,Legendary,Available,Alpha Packs,Burnt Horizon
GOLDDICE,Item,Legendary,Available,Alpha Packs,Burnt Horizon
UPSCALECIGARHOLDER,Item,Legendary,Available,Alpha Packs,Burnt Horizon
FORSCALE,Item,Legendary,Available,Alpha Packs,Burnt Horizon
ESTRELLITA,Natural,Legendary,Removed,Alpha Packs,Operation Health
WOW,Natural,Legendary,Removed,Alpha Packs,Operation Health
TOKKIMEMO,Natural,Legendary,Available,Alpha Packs; Dokkaebi Alpha Pack Set 1,Neon Dawn
GARGULEC,Natural,Legendary,Available,Alpha Packs; Dokkaebi Alpha Pack Set 1,Neon Dawn
GOLDENROSE,Natural,Legendary,Available,Alpha Packs; Dokkaebi Alpha Pack Set 1,Neon Dawn
LIEUTENANTBEAR,Natural,Legendary,Removed,Class Of Zero Battlepass,Shadow Legacy
SNACKOFFORTUNE,Natural,Legendary,Removed,Class Of Zero Battlepass,Shadow Legacy
EAGLEKNEAGLE,Natural,Legendary,Removed,Road to S.I. 2021 Event; Six Invitational 2021 Battlepass,Neon Dawn
CHIEFROOSTER,Natural,Legendary,Removed,Road to S.I. 2021 Event; Six Invitational 2021 Battlepass,Neon Dawn
BLACKBEARDESPORTSCHIBI,Natural,Legendary,Removed,Road to S.I. 2021 Event; Six Invitational 2021 Battlepass,Neon Dawn
BLITZESPORTSCHIBI,Natural,Legendary,Removed,Road to S.I. 2021 Event; Six Invitational 2021 Battlepass,Neon Dawn
BUCKESPORTSCHIBI,Chibi,Epic,Available,Buck Esports Set,Crimson Heist
CAVEIRAESPORTSCHIBI,Chibi,Epic,Available,Buck Esports Set,Crimson Heist
SIXCOLLECTIONBANDIT,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONTACHANKA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONHIBANA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONMONTAGNE,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONCAVEIRA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONVALKYRIE,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONTHERMITE,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONASH,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONSLEDGE,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONSMOKE,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONIQ,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONJAGER,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONELA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONVIGIL,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONTWITCH,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONBLITZ,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Wind Bastion
SIXCOLLECTIONFINKA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Shifting Tides
SIXCOLLECTIONDOC,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Shifting Tides
SIXCOLLECTIONMIRA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Neon Dawn
SIXCOLLECTIONALIBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Neon Dawn
SIXCOLLECTIONDOKKAEBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Neon Dawn
SIXCOLLECTIONCASTLE,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Neon Dawn
SIXCOLLECTIONLESION,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Neon Dawn
SIXCOLLECTIONKALI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,Neon Dawn
SIXCOLLECTIONBUCK,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
SIXCOLLECTIONGRIDLOCK,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
SIXCOLLECTIONZOFIA,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
SIXCOLLECTIONZERO,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
SIXCOLLECTIONGLAZ,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
SIXCOLLECTIONMAVERICK,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
SIXCOLLECTIONKAPKAN,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
INFECTEDFANBOY,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
R6MEGAFAN,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
AWWWDANGEROUS,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
ELAESPORTSCHIBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
FINKAEUCHIBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
ABOMINABLESIEGEMAN,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
JAGERESPORTSCHIBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
KAPKANESPORTSCHIBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
LESIONAPACCHIBI,Chibi,Epic,Available,Chibi Collection Six; Official Merch,North Star
TRIGGERTRACKER,Chibi,Epic,Removed,M.U.T.E Protocol Event; Weekly Challenge,Steel Wave
MAVERICKNACHIBI,Chibi,Epic,Removed,M.U.T.E Protocol Event; Weekly Challenge,Steel Wave
MELUSILATAMCHIBI,Chibi,Epic,Available,Melusi Esports Set,North Star
MIRAESPORTSCHIBI,Chibi,Epic,Available,Melusi Esports Set,North Star
NOMADESPORTSCHIBI,Chibi,Epic,Available,Melusi Esports Set,North Star
JOYFULMADNESS,Chibi,Epic,Available,Melusi Esports Set,North Star
GOLDALIBICHIBI,Chibi,Epic,Removed,Pro League Alibi Set 1,Wind Bastion
GOLDAMARUCHIBI,Chibi,Epic,Removed,Pro League Alibi Set 1,Wind Bastion
GOLDASHCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
PROASHCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDBANDITCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
PROBANDITCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDBLACKBEARDCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDBLITZCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDBUCKCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDCAPITAOCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDCASTLECHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDCAVEIRACHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDCLASHCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDDOCCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDDOKKAEBICHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDECHOCHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDELACHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDFINKACHIBI,Chibi,Epic,Removed,Pro League Ash Set 1,Dust Line
GOLDFROSTCHIBI,Chibi,Epic,Available,Pro League Frost Set 1; Siege Esports Packs,Velvet Shell
GOLDFUZECHIBI,Chibi,Epic,Available,Pro League Frost Set 1; Siege Esports Packs,Velvet Shell
GOLDGLAZCHIBI,Chibi,Epic,Removed,Pro League Glaz Set 1,Blood Orchid
GOLDGOYOCHIBI,Chibi,Epic,Removed,Pro League Glaz Set 1,Blood Orchid
GOLDGRIDLOCKCHIBI,Chibi,Epic,Removed,Pro League Glaz Set 1,Blood Orchid
GOLDHIBANACHIBI,Chibi,Epic,Removed,Pro League Glaz Set 1,Blood Orchid
GOLDIQCHIBI,Chibi,Epic,Removed,Pro League IQ Set 1,Red Crow
PROIQCHIBI,Chibi,Epic,Removed,Pro League IQ Set 1,Red Crow
GOLDJACKALCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDJAGERCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
PROJAGERCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDKAIDCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDKAPKANCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDLESIONCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDLIONCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDMAESTROCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDMAVERICKCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDMIRACHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDMONTAGNECHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDMOZZIECHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDMUTECHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
PROMUTECHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDNOKKCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDNOMADCHIBI,Chibi,Epic,Removed,Pro League Jackal Set 1,Chimera
GOLDPULSECHIBI,Chibi,Epic,Removed,Pro League Pulse Set 1,Velvet Shell
GOLDROOKCHIBI,Chibi,Epic,Removed,Pro League Pulse Set 1,Velvet Shell
PROROOKCHIBI,Chibi,Epic,Removed,Pro League Rook Set 2,Phantom Sight
GOLDSLEDGECHIBI,Chibi,Epic,Removed,Pro League Rook Set 2,Phantom Sight
PROSLEDGECHIBI,Chibi,Epic,Removed,Pro League Rook Set 2,Phantom Sight
GOLDSMOKECHIBI,Chibi,Epic,Removed,Pro League Rook Set 2,Phantom Sight
GOLDTACHANKACHIBI,Chibi,Epic,Removed,Pro League Tachanka Set 1,Red Crow
PROTACHANKACHIBI,Chibi,Epic,Removed,Pro League Tachanka Set 1,Red Crow
GOLDTHATCHERCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
PROTHATCHERCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDTHERMITECHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDTWITCHCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
PROTWITCHCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDVALKYRIECHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDVIGILCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDWARDENCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDYINGCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
GOLDZOFIACHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
LEPRECHAUN,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
SMOKEESPORTSCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
TEEVEEBUDDY,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
TWITCHESPORTSCHIBI,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
PIZZABOY,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
IMMORTALSFENYXRISING,Chibi,Epic,Removed,Pro League Thatcher Set 1,Skull Rain
R6SUPERFAN,Chibi,Epic,Removed,WeChat Promotion,Para Bellum
RECRUITCHIBI,Chibi,Epic,Removed,WeChat Promotion,Para Bellum
MARCHINGNEON,Chibi,Epic,Removed,Weekly Challenge; M.U.T.E Protocol Event,Steel Wave
APEXCHIBI,Chibi,Epic,Removed,Weekly Challenge; M.U.T.E Protocol Event,Steel Wave
SMASHERCHIBI,Chibi,Epic,Removed,Weekly Challenge; M.U.T.E Protocol Event,Steel Wave
BREACHERCHIBI,Chibi,Epic,Removed,Weekly Challenge; M.U.T.E Protocol Event,Steel Wave
ROOTERCHIBI,Chibi,Epic,Removed,Weekly Challenge; Outbreak Event,Chimera
HEGRUNTCHIBI,Chibi,Epic,Removed,Weekly Challenge; Outbreak Event,Chimera
SHEGRUNTCHIBI,Chibi,Epic,Removed,Weekly Challenge; Outbreak Packs,Chimera
YINGESPORTSCHIBI,Chibi,Epic,Removed,Weekly Challenge; Outbreak Packs,Chimera
BLACKDRAGONS2020,Chibi,Epic,Removed,Weekly Challenge; Outbreak Packs,Chimera
BDSESPORT2020,Esport,Epic,Available,BDS Esport Weapon Kit '20; R6Share Program,Neon Dawn
CHAOSEC2020,Esport,Epic,Available,BDS Esport Weapon Kit '20; R6Share Program,Neon Dawn
CLOUD92019,Esport,Epic,Available,BDS Esport Weapon Kit '20; R6Share Program,Neon Dawn
CLOUD92020,Esport,Epic,Available,Cloud9 Weapon Kit '20; R6Share Program,Neon Dawn
2017INVITATIONAL,Esport,Epic,Available,Cloud9 Weapon Kit '20; R6Share Program,Neon Dawn
COMPETITIVEPLAYERGOLD,Esport,Epic,Removed,Convention Rewards,Black Ice
SIXMAJORPARISATTENDEE2018,Esport,Epic,Removed,Convention Rewards,Black Ice
SIXINVITATIONALATTENDEE19,Esport,Epic,Removed,Convention Rewards,Black Ice
SIXINVITATIONALATTENDEE18,Esport,Epic,Removed,Convention Rewards,Black Ice
COMPETITIVEPLAYER,Esport,Epic,Removed,Convention Rewards,Black Ice
DARKZEROESPORT2020,Esport,Epic,Removed,Convention Rewards,Black Ice
DISRUPTGAMING2020,Esport,Epic,Removed,Convention Rewards,Black Ice
EVILGENIUSES2018,Esport,Epic,Removed,Convention Rewards,Black Ice
EVILGENIUSES2019,Esport,Epic,Removed,Convention Rewards,Black Ice
FAZECLAN2018,Esport,Epic,Removed,Convention Rewards,Black Ice
FAZECLAN2019,Esport,Epic,Removed,Convention Rewards,Black Ice
FAZECLAN2020,Esport,Epic,Removed,Convention Rewards,Black Ice
FNATIC2018,Esport,Epic,Removed,Convention Rewards,Black Ice
FNATIC2019,Esport,Epic,Removed,Convention Rewards,Black Ice
FNATIC2020,Esport,Epic,Removed,Convention Rewards,Black Ice
G2ESPORTS2019,Esport,Epic,Removed,Convention Rewards,Black Ice
G2ESPORTS2020,Esport,Epic,Available,G2 Esports Full Kit '20,Shadow Legacy
GIANTSGAMING2020,Esport,Epic,Available,G2 Esports Full Kit '20,Shadow Legacy
INTZ2019,Esport,Epic,Removed,INTZ Full Kit '19; Pilot Program Phase 2,Phantom Sight
INTZ2020,Esport,Epic,Removed,INTZ Full Kit '19; Pilot Program Phase 2,Phantom Sight
IMMORTALS2018,Esport,Epic,Removed,INTZ Full Kit '19; Pilot Program Phase 2,Phantom Sight
KNIGHTS2020,Esport,Epic,Removed,INTZ Full Kit '19; Pilot Program Phase 2,Phantom Sight
MIBR2019,Esport,Epic,Removed,MIBR Full Kit '19; Pilot Program Phase 2,Phantom Sight
MIBR2020,Esport,Epic,Removed,MIBR Full Kit '19; Pilot Program Phase 2,Phantom Sight
MOUSESPORTS2018,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
NINJAINPAJAMAS2018,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
NINJASINPYJAMAS2020,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
NATUSVINCERE2019,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
NATUSVINCERE2020,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
NORARENGO2019,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
PENTA2018,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
PENTA2019,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
BLACKDRAGONS2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
BDSESPORT2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
CLOUD92021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
DARKZEROESPORT2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
DISRUPTGAMING2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
TEAMEMPIRE2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
INTZ2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
KNIGHTS2021,Esport,Epic,Removed,Mousesports Full Kit '18,Grim Sky
MIBR2021,Esport,Epic,Available,R6Share Program; MIBR Weapon Kit '21,North Star
TEAMSECRET2021,Esport,Epic,Available,R6Share Program; MIBR Weapon Kit '21,North Star
VIRTUSPRO2021,Esport,Epic,Available,R6Share Program; VP Weapon Kit '21,North Star
VELVETSHELLPLATINUM,Esport,Epic,Available,R6Share Program; VP Weapon Kit '21,North Star
WHITENOISEPLATINUM,Esport,Epic,Available,R6Share Program; VP Weapon Kit '21,North Star
PARABELLUMPLATINUM,Esport,Epic,Available,R6Share Program; VP Weapon Kit '21,North Star
REDCROWPLATINUM,Esport,Epic,Removed,Ranked Rewards,Red Crow
BLOODORCHIDPLATINUM,Esport,Epic,Removed,Ranked Rewards,Red Crow
