weapon,name,rarity,availability,bundle,season
L85A2,Aki No Tsuru,Epic,Removed,Aki No Tsuru Universal Skin; Crane Bundle,Red Crow
L85A2,Alembic,Epic,Removed,Alembic Universal Skin; Distilled Bundle,Blood Orchid
L85A2,Arctic,Epic,Available,Arctic Universal Skin; Alpha Packs,Skull Rain
L85A2,Battle Fabric,Epic,Removed,Sugar Fright Event; Battle Fabric Seasonal Skin; Sugar Fright Pack,Shadow Legacy
L85A2,Beach Trip,Epic,Removed,Beach Trip Seasonal Skin; Warm Sands Bundle,Steel Wave
L85A2,Black Ice,Epic,Available,Alpha Packs; Black Ice Seasonal Skin; Black Ice SAS Bundle,Black Ice
L85A2,Black,Epic,Available,Black Universal Skin; Alpha Packs,Red Crow
L85A2,Chroma Streaks,Epic,Removed,Chroma Streaks Seasonal Skin; Class Of Zero Battlepass,Shadow Legacy
L85A2,Chupinazo,Epic,Removed,Chupinazo Seasonal Skin; San Fermìn Bundle,Velvet Shell
L85A2,Clog Dance,Epic,Removed,Fleeting Fun Bundle; Clog Dance Seasonal Skin,Void Edge
L85A2,Crimson,Epic,Available,Crimson Universal Skin; Alpha Packs,Skull Rain
L85A2,Damascus Steel,Epic,Removed,Damascus Seasonal Skin; Year 3 Season Pass,White Noise
L85A2,Deco Artistry,Epic,Removed,Deco Artistry Seasonal Skin; Roaring Riches Bundle,Void Edge
L85A2,DEU WWII Camo,Epic,Available,DEU WWII Camo Universal Skin; Alpha Packs,Game Launch
L85A2,Diamond,Epic,Available,Diamond Universal Skin,Dust Line
L85A2,Dystopian Survival,Epic,Removed,Dystopian Survival Seasonal Skin; Apocalypse Event; Apocalypse Packs,Crimson Heist
L85A2,Ectoplasm,Epic,Removed,Ectoplam Seasonal Skin; Crimson Veil Packs; Mad House Event,Grim Sky
L85A2,El Dorado,Epic,Removed,El Dorado Seasonal Skin; Alquimista Bundle,Velvet Shell
L85A2,Feral,Epic,Removed,Feral Seasonal Skin; Legend Bundle,White Noise
L85A2,FIN Winter Camo,Epic,Available,FIN Winter Camo Universal Skin; Alpha Packs,Blood Orchid
L85A2,FRA Reganomics,Epic,Available,FRA Reganomics Universal Skin; Alpha Packs,Game Launch
L85A2,GBR WWII Camo,Epic,Available,GBR WWII Camo Universal Skin; Alpha Packs,Game Launch
L85A2,Gingerbread,Epic,Removed,Gingerbread Seasonal Skin; Sugar Coated Bundle,Wind Bastion
L85A2,Glacier,Epic,Removed,Glacier Seasonal Skin; Esport Bundle Pro League S1,Black Ice
L85A2,Husaria,Epic,Removed,Husaria Seasonal Skin; Battalion Bundle,White Noise
L85A2,Loyalty,Epic,Removed,Loyalty Seasonal Skin; Chinese New Year Bundle,White Noise
L85A2,Modern CAN Camo,Epic,Available,Modern CAN Camo Universal Skin; Alpha Packs,Black Ice
L85A2,Modern USA Camo,Epic,Available,Modern USA Camo Universal Skin; Alpha Packs,Game Launch
L85A2,Outbreak Code Red,Epic,Removed,Outbreak Code Red Seasonal Skin; Outbreak Packs; Outbreak Event,Chimera
L85A2,Particle Robotics,Epic,Removed,Particle Robotics Seasonal Skin; M.U.T.E Protocol Packs; M.U.T.E Protocol Event,Steel Wave
L85A2,Penumbra Cells,Epic,Removed,Penumbra Cells Seasonal Skin; Hidden Pursuits Bundle,Shadow Legacy
L85A2,Phoenix,Epic,Removed,Phoenix Seasonal Skin; Immortal Bundle,White Noise
L85A2,Piranha,Epic,Removed,Piranha Seasonal Skin; Piranha Bundle,Skull Rain
L85A2,Red Silk,Epic,Removed,Red Silk Seasonal Skin; Silk Bundle,Blood Orchid
L85A2,River Scale,Epic,Removed,River Scale Seasonal Skin; Dragon Boat Bundle,Void Edge
L85A2,RUS WWII Camo,Epic,Available,RUS WWII Camo Universal Skin; Alpha Packs,Game Launch
L85A2,Ryuko,Epic,Removed,Ryuko Seasonal Skin; Majestic Bundle,Red Crow
L85A2,Search And Rescue,Epic,Available,North Star Battlepass; Search And Rescue Seasonal Skin,North Star
L85A2,Signature Six 19,Epic,Removed,Signature Six '19 Seasonal Skin; 2019 Collection Packs; Road to S.I. 2019 Event,Wind Bastion
L85A2,Skull Rain,Epic,Removed,Skull Rain Seasonal Skin; Skull Rain Weapon Skin bundle,Skull Rain
L85A2,Sleigh Ride,Epic,Removed,Sleigh Ride Seasonal Skin; North Pole Bundle,White Noise
L85A2,Surgical Stitch,Epic,Removed,Surgical Stitch Seasonal Skin; Flayed Pain Bundle,Ember Rise
L85A2,SWE Reganomics,Epic,Available,SWE Reganomics Universal Skin; Alpha Packs,Game Launch
L85A2,SWE Winter Camo,Epic,Available,SWE Winter Camo Universal Skin; Alpha Packs,Blood Orchid
L85A2,Thermal Antipode,Epic,Removed,Thermal Antipode Seasonal Skin; Calefaction Bundle,Crimson Heist
L85A2,Tiger Claw,Epic,Removed,Tiger Claw Seasonal Skin; Guardian Bundle,White Noise
L85A2,USA Desert Camo,Epic,Available,USA Desert Camo Universal Skin; Alpha Packs,Dust Line
L85A2,USA Reganomics,Epic,Available,USA Reganomics Universal Skin; Alpha Packs,Blood Orchid
L85A2,USA Winter Camo,Epic,Available,USA Winter Camo Universal Skin; Alpha Packs,Black Ice
L85A2,USA WWII Camo,Epic,Available,USA WWII Camo Universal Skin; Alpha Packs,Game Launch
L85A2,Vintage Festivity,Epic,Available,Vintage Festivity Seasonal Skin; Old School Yule Bundle,Neon Dawn
L85A2,Volcano,Epic,Removed,Volcano Seasonal Skin; Year 4 Season Pass,Wind Bastion
L85A2,White Dragon,Epic,Removed,White Dragon Seasonal Skin; Xingyun Bundle,Blood Orchid
L85A2,Winter Knitting,Epic,Removed,Winter Knitting Seasonal Skin; Jolly Frost Bundle,Shifting Tides
L85A2,Wisdom And Hospitality,Epic,Available,Medicant Bundle; Wisdom And Hospitality Seasonal Skin,North Star
L85A2,Year Of The Ox,Epic,Available,Year Of The Ox Seasonal Skin; Ox Zodiac Bundle,Neon Dawn
L85A2,Year of the Pig,Epic,Removed,Year of the Pig Seasonal Skin; Pig Zodiac Bundle,Wind Bastion
L85A2,Year of the Rat,Epic,Removed,Year of the Rat Seasonal Skin; Rat Zodiac Bundle,Shifting Tides
L85A2,Amazônia,Rare,Removed,Amazônia Seasonal Skin; Amazônia Bundle,Skull Rain
L85A2,Amethyst,Rare,Available,Amethyst Universal Skin; Amethyst Weapon Skin DLC; Gemstones DLC,Black Ice
L85A2,Ancestral Southwest,Rare,Removed,Ancestral Southwest Seasonal Skin; Southwest Legacy Bundle,Chimera
L85A2,Ancient Marble,Rare,Removed,Ancient Marble Seasonal Skin; Ancient Marble Bundle,Para Bellum
L85A2,Austral,Rare,Removed,Austral Seasonal Skin; Red Centre Bundle,Burnt Horizon
L85A2,Azelujos,Rare,Removed,Azelujos Seasonal Skin; Azelujos Bundle,Skull Rain
L85A2,Azurite,Rare,Available,Azurite Universal Skin; Alpha Packs,Skull Rain
L85A2,Baroque Exalted,Rare,Removed,Baroque Exalted Seasonal Skin; Conqueror Bundle,Wind Bastion
L85A2,Blue Nebula,Rare,Removed,Blue Nebula Universal Skin; Ubisoft Gift,Velvet Shell
L85A2,Board Cove,Rare,Removed,Board Cove Seasonal Skin; Beach Waves Bundle,Burnt Horizon
L85A2,Brown,Rare,Available,Brown Universal Skin; Alpha Packs,Skull Rain
L85A2,Canary,Rare,Available,Canary Universal Skin; Alpha Packs,Skull Rain
L85A2,Carnevale,Rare,Removed,Carnevale Seasonal Skin; Carnevale Bundle,Para Bellum
L85A2,Cobalt,Rare,Available,Cobalt Universal Skin; Gemstones DLC; Cobalt Weapon Skin DLC,Black Ice
L85A2,Crocodylus,Rare,Removed,Crocodylus Seasonal Skin; Swamp Stalker Bundle,Burnt Horizon
L85A2,Crossfader,Rare,Removed,Crossfader Seasonal Skin; Bass Drop Bundle,Velvet Shell
L85A2,Cyan,Rare,Available,Cyan Universal Skin; Cyan Weapon Skin DLC; Gemstones DLC,Dust Line
L85A2,Destroyer,Rare,Removed,Flotilla Bundle; Destroyer Seasonal Skin,Phantom Sight
L85A2,Dust Line,Rare,Removed,Dust Line Seasonal Skin,Dust Line
L85A2,Dynasty,Rare,Removed,Dynasty Seasonal Skin; Nephrite Bundle,Blood Orchid
L85A2,Elephant,Rare,Available,Elephant Universal Skin; Safari Bundle DLC; Year 1 Season Pass,Game Launch
L85A2,Emerald,Rare,Available,Emerald Universal Skin; Emerald Weapon Skin DLC; Gemstones DLC,Black Ice
L85A2,Eternal Sun,Rare,Removed,Eternal Sun Seasonal Skin; Daylight Bundle,Ember Rise
L85A2,Eternal Wind,Rare,Removed,Eternal Wind Seasonal Skin; Windfang Bundle,Ember Rise
L85A2,Firefly,Rare,Available,Firefly Universal Skin; Alpha Packs,Operation Health
L85A2,Fujin Raijin,Rare,Removed,Fujin Raijin Seasonal Skin; Tempest Bundle,Red Crow
L85A2,Gold Impact,Rare,Available,Gold Impact Seasonal Skin; Amber Gleam Bundle,Neon Dawn
L85A2,Gold,Rare,Available,Gold Universal Skin; Safari Bundle DLC; Year 1 Season Pass,Game Launch
L85A2,Gray,Rare,Available,Gray Universal Skin; Alpha Packs,Velvet Shell
L85A2,Haze,Rare,Available,Haze Universal Skin; Alpha Packs,Skull Rain
L85A2,Heart Attack,Rare,Removed,Heart Attack Universal Skin; Weekly Challenge,Black Ice
L85A2,Jungle,Rare,Available,Jungle Universal Skin; Alpha Packs,Skull Rain
L85A2,León Furioso,Rare,Removed,León Furioso Seasonal Skin; Futbolero Bundle,Velvet Shell
L85A2,Leopard,Rare,Available,Leopard Universal Skin; Safari Bundle DLC; Year 1 Season Pass,Game Launch
L85A2,Lucky,Rare,Removed,Lucky Universal Skin; Ubisoft Gift,Black Ice
L85A2,Majesty,Rare,Removed,Majesty Seasonal Skin; Regal Arms Bundle,Grim Sky
L85A2,Nutcracker,Rare,Removed,Nutcracker Universal Skin; Ubisoft Gift,Red Crow
L85A2,Obsidian,Rare,Removed,Obsidian Seasonal Skin; Year 2 Season Pass,Red Crow
L85A2,Ocean's Teeth,Rare,Removed,Ocean's Teeth Seasonal Skin; Razor Tide Bundle,Burnt Horizon
L85A2,Olive,Rare,Available,Olive Universal Skin; Alpha Packs,Skull Rain
L85A2,Onami,Rare,Removed,Onami Seasonal Skin; Sea Spray Bundle,Red Crow
L85A2,Painted Floral,Rare,Removed,Painted Floral Seasonal Skin; Embellished Bundle,Wind Bastion
L85A2,Palace Virtue,Rare,Removed,Palace Virtue Seasonal Skin; Devotion Bundle,Shifting Tides
L85A2,Platinum,Rare,Available,Platinum Universal Skin; Platinum Weapon Skin DLC; Gemstones DLC,Black Ice
L85A2,Plinky's Arcade,Rare,Removed,Plinky’s Arcade Seasonal Skin; Crumbling Bundle,Blood Orchid
L85A2,Ralphie,Rare,Removed,Ralphie Universal Skin; Ubisoft Gift,Game Launch
L85A2,Renaissance,Rare,Removed,Renaissance Seasonal Skin; Renaissance Bundle,Para Bellum
L85A2,Ruby,Rare,Available,Ruby Universal Skin; Gemstones DLC; Ruby Weapon Skin DLC,Black Ice
L85A2,Rusty Trigger,Rare,Removed,Rusty Trigger Seasonal Skin; Rusty Sunshine Bundle,Chimera
L85A2,Saber Carve,Rare,Removed,Pointed Grit Bundle; Saber Carve Seasonal Skin,Void Edge
L85A2,Saffron,Rare,Available,Saffron Universal Skin; Alpha Packs,Skull Rain
L85A2,Secret Star,Rare,Removed,Secret Star Seasonal Skin; Unsung Bundle,Phantom Sight
L85A2,Snake,Rare,Available,Snake Universal Skin; Safari Bundle DLC; Year 1 Season Pass,Game Launch
L85A2,Sovereign,Rare,Removed,Sovereign Seasonal Skin; Throne Guard Bundle,Grim Sky
L85A2,Spitfire,Rare,Removed,Spitfire Seasonal Skin; Stirling Lines Bundle,Grim Sky
L85A2,SPQR,Rare,Removed,SPQR Seasonal Skin; SPQR Bundle,Para Bellum
L85A2,Strike Force,Rare,Removed,Incursion Bundle; Strike Force Seasonal Skin,Phantom Sight
L85A2,Teal,Rare,Available,Teal Universal Skin; Alpha Packs,Velvet Shell
L85A2,Terra Cotta,Rare,Removed,Terra Cotta Seasonal Skin; Earthenware Bundle,Wind Bastion
L85A2,Tiger,Rare,Available,Tiger Universal Skin; Safari Bundle DLC; Year 1 Season Pass,Game Launch
L85A2,Topaz,Rare,Available,Topaz Universal Skin; Topaz Weapon Skin DLC; Gemstones DLC,Black Ice
L85A2,Vessel Wave,Rare,Removed,Vessel Wave Seasonal Skin; Solidarity Bundle,Shifting Tides
L85A2,Waffle Cone,Rare,Removed,Waffle Cone Seasonal Skin; Sweets Bundle,Phantom Sight
L85A2,Whitehall 1212,Rare,Removed,Whitehall 1212 Seasonal Skin; Metropolice Bundle,Grim Sky
L85A2,Wooden Carving,Rare,Removed,Wooden Carving Seasonal Skin; Hill Skirmish Bundle,Steel Wave
L85A2,Zebra,Rare,Available,Zebra Universal Skin; Safari Bundle DLC; Year 1 Season Pass,Game Launch
L85A2,Cold War-BEL,Uncommon,Available,Cold War-BEL Universal Skin; Alpha Packs,Skull Rain
L85A2,Cold War-FRA,Uncommon,Available,Cold War-FRA Universal Skin; Alpha Packs,Skull Rain
L85A2,Cold War-GBR,Uncommon,Available,Cold War-GBR Universal Skin; Alpha Packs,Skull Rain
L85A2,Cold War-USA,Uncommon,Available,Cold War-USA Universal Skin; Alpha Packs,Skull Rain
L85A2,Cold War-VNM,Uncommon,Available,Cold War-VNM Universal Skin; Alpha Packs,Skull Rain
L85A2,Enamored,Common,Removed,Enamored Universal Skin; Weekly Challenge,Velvet Shell
L85A2,Jumper,Common,Removed,Jumper Seasonal Skin; Ubisoft Connect,Game Launch
